,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
7,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
8,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,
9,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
10,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.06153846153846154,0.14925373134328357,0.1328125,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
11,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.06818181818181818,0.0,0.2631578947368421,0.05714285714285714,0.225,0.25,0.26732673267326734,0.41626794258373206,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,
12,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.10344827586206896,0.0,0.17647058823529413,0.3,0.35185185185185186,0.16831683168316833,0.5252525252525253,0.5414364640883977,0.43478260869565216,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,
13,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.13043478260869565,0.15384615384615385,0.33962264150943394,0.5,0.3508771929824561,0.6833333333333333,0.7324561403508771,0.3333333333333333,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,
14,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.19148936170212766,0.3684210526315789,0.3125,0.6851851851851852,0.6421052631578947,0.4180790960451977,0.7817258883248731,0.7579617834394905,0.3333333333333333,0.5625,0.4166666666666667,0.2,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,
15,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0851063829787234,0.2222222222222222,0.5,0.5882352941176471,0.5769230769230769,0.5980861244019139,0.84375,0.6126582278481013,0.475,0.5357142857142857,0.18571428571428572,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,
16,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.02040816326530612,0.5853658536585366,0.76,0.7282608695652174,0.6647398843930635,0.6244725738396625,0.8066914498141264,0.8075313807531381,0.4936708860759494,0.15625,0.5263157894736842,0.19047619047619047,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
17,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.45161290322580644,0.5411764705882353,0.6698113207547169,0.6650485436893204,0.7253731343283583,0.8514588859416445,0.8466666666666667,0.487012987012987,0.42528735632183906,0.4375,0.2962962962962963,0.2692307692307692,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,
18,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.14285714285714285,0.64,0.4626865671641791,0.6443298969072165,0.7875,0.7220708446866485,0.8862385321100917,0.8709677419354839,0.6317991631799164,0.3782608695652174,0.532258064516129,0.2,0.24,0.32142857142857145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
19,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.373134328358209,0.7115384615384616,0.6260162601626016,0.47854785478547857,0.7384615384615385,0.7275132275132276,0.9039301310043668,0.8036723163841808,0.627177700348432,0.7048192771084337,0.5823529411764706,0.4625,0.5970149253731343,0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,
20,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.22413793103448276,0.5432098765432098,0.7654320987654321,0.7019867549668874,0.6794425087108014,0.7197452229299363,0.9222222222222223,0.6940509915014165,0.538961038961039,0.7176470588235294,0.6148148148148148,0.4,0.32941176470588235,0.24324324324324326,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
21,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.2916666666666667,0.703125,0.8055555555555556,0.5271317829457365,0.6645367412140575,0.7410926365795725,0.8207282913165266,0.7818791946308725,0.4548872180451128,0.8327402135231317,0.6327014218009479,0.27218934911242604,0.2916666666666667,0.358974358974359,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
22,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.22033898305084745,0.6363636363636364,0.5636363636363636,0.7313432835820896,0.7412280701754386,0.8087431693989071,0.9030172413793104,0.804755944931164,0.6633663366336634,0.7432432432432432,0.4738675958188153,0.25806451612903225,0.3411764705882353,0.27586206896551724,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,
23,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.07894736842105263,0.21568627450980393,0.55,0.608,0.6907894736842105,0.7320261437908496,0.7570621468926554,0.8491484184914841,0.8265027322404371,0.6022099447513812,0.654320987654321,0.5138888888888888,0.32903225806451614,0.42105263157894735,0.3,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,
24,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.2127659574468085,0.5833333333333334,0.5245901639344263,0.5783132530120482,0.6502732240437158,0.7208480565371025,0.8755364806866953,0.7325428194993412,0.6257668711656442,0.5585106382978723,0.42276422764227645,0.21311475409836064,0.3333333333333333,0.4,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
25,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4411764705882353,0.4057971014492754,0.47761194029850745,0.7294117647058823,0.4941860465116279,0.65,0.7956989247311828,0.6546762589928058,0.6666666666666666,0.6917808219178082,0.5671641791044776,0.11864406779661017,0.22727272727272727,0.2222222222222222,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
26,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.22727272727272727,0.39344262295081966,0.52,0.5045871559633027,0.5620437956204379,0.6288659793814433,0.7514619883040936,0.5493273542600897,0.5700934579439252,0.4657534246575342,0.3076923076923077,0.2647058823529412,0.1111111111111111,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,
27,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.3076923076923077,0.38461538461538464,0.4948453608247423,0.5045871559633027,0.5483870967741935,0.7054545454545454,0.6563467492260062,0.4339622641509434,0.6858407079646017,0.47058823529411764,0.5263157894736842,0.35294117647058826,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,
28,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.2,0.2,0.3333333333333333,0.21904761904761905,0.31666666666666665,0.47619047619047616,0.7301136363636364,0.6008403361344538,0.4057971014492754,0.3466666666666667,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,
29,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.07894736842105263,0.2625,0.415929203539823,0.6388888888888888,0.4064516129032258,0.2692307692307692,0.36363636363636365,0.14893617021276595,0.45454545454545453,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,
30,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.075,0.16981132075471697,0.44,0.37888198757763975,0.2802197802197802,0.24193548387096775,0.2,0.42857142857142855,0.625,0.625,0.0,0.0,0.0,0.0,,,,,,,,,,
31,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2708333333333333,0.4166666666666667,0.5040650406504065,0.42424242424242425,0.45454545454545453,0.5,0.5454545454545454,0.2857142857142857,0.3333333333333333,1.0,0.5,0.0,0.0,0.0,,,,,,,,,
32,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.3225806451612903,0.3064516129032258,0.2876712328767123,0.3783783783783784,0.25,0.1111111111111111,0.5,0.6666666666666666,0.6,0.0,,,,0.0,0.0,0.0,,,,,,,
33,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.2222222222222222,0.36,0.11702127659574468,0.2641509433962264,0.25,0.0,0.3333333333333333,0.0,0.0,,0.0,,,,0.0,0.0,,,,,,,
34,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.2857142857142857,0.09090909090909091,0.24242424242424243,0.18840579710144928,0.2,0.0,0.0,0.0,,0.5,0.5,0.0,0.0,,,,0.0,,,,,,,
35,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.18181818181818182,0.0,0.13953488372093023,0.07547169811320754,0.08695652173913043,0.0,0.0,,0.0,,0.3333333333333333,0.0,0.0,,,,,,0.0,,,,,
36,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,
37,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,
38,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,,,,
39,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
